BLOCK	ACTUAL_P	P_AVE	ERROR
746	4.9828	4.99064	0.0115184
747	4.99072	4.99064	0.011503
748	5.01512	4.99067	0.0114877
749	4.93347	4.99059	0.0114726
750	5.08238	4.99071	0.0114579
751	4.87625	4.99056	0.0114437
752	4.97886	4.99055	0.0114285
753	4.50633	4.9899	0.0114314
754	5.09926	4.99005	0.0114172
755	4.6552	4.9896	0.0114106
756	4.90751	4.9895	0.0113961
757	4.9234	4.98941	0.0113813
758	5.31656	4.98984	0.0113745
759	4.86752	4.98968	0.0113607
760	5.35935	4.99017	0.0113561
761	4.9228	4.99008	0.0113416
762	4.63323	4.98961	0.0113363
763	5.27036	4.98998	0.0113274
764	5.03185	4.99003	0.0113128
765	4.85774	4.98986	0.0112993
766	4.74297	4.98954	0.0112891
767	4.59184	4.98902	0.0112863
768	5.30994	4.98944	0.0112793
769	4.95155	4.98939	0.0112648
770	5.66496	4.99026	0.0112843
771	5.24981	4.9906	0.0112747
772	4.86974	4.99044	0.0112611
773	5.37192	4.99094	0.0112574
774	5.6152	4.99174	0.0112717
775	5.00996	4.99177	0.0112572
776	4.7897	4.99151	0.0112457
