BLOCK	ACTUAL_P	P_AVE	ERROR
402	1.53538	1.51027	0.00608236
403	1.37025	1.50992	0.00607718
404	1.52374	1.50995	0.00606223
405	1.50788	1.50995	0.00604727
406	1.49868	1.50992	0.00603243
407	1.31842	1.50945	0.00603593
408	1.40972	1.50921	0.00602609
409	1.68896	1.50965	0.00602736
410	1.50539	1.50964	0.00601267
411	1.40035	1.50937	0.00600391
412	1.68256	1.50979	0.00600404
413	1.45066	1.50965	0.00599121
414	1.61662	1.50991	0.00598231
415	1.38742	1.50961	0.00597517
416	1.55045	1.50971	0.00596161
417	1.48678	1.50965	0.00594757
418	1.49138	1.50961	0.0059335
419	1.50173	1.50959	0.00591937
420	1.55003	1.50969	0.00590606
421	1.52582	1.50973	0.00589215
422	1.71702	1.51022	0.00589863
423	1.48627	1.51016	0.00588496
424	1.36776	1.50982	0.00588065
425	1.46332	1.50972	0.00586783
426	1.79417	1.51038	0.00589193
427	1.36195	1.51004	0.00588838
428	1.6264	1.51031	0.00588089
429	1.56535	1.51044	0.00586858
430	1.46462	1.51033	0.0058559
431	1.55245	1.51043	0.00584313
432	1.64408	1.51074	0.00583779
433	1.39591	1.51047	0.00583033
434	1.53599	1.51053	0.00581719
435	1.40242	1.51028	0.00580913
436	1.53198	1.51033	0.00579602
437	1.40163	1.51008	0.00578809
438	1.55257	1.51018	0.00577569
439	1.68808	1.51058	0.00577673
440	1.69025	1.51099	0.00577801
441	1.44247	1.51084	0.005767
442	1.39577	1.51058	0.00575982
443	1.48466	1.51052	0.00574712
444	1.73173	1.51102	0.00575573
445	1.36077	1.51068	0.00575269
446	1.4157	1.51047	0.00574373
447	1.35614	1.51012	0.00574125
448	1.54448	1.5102	0.00572895
449	1.47957	1.51013	0.00571659
450	1.39233	1.50987	0.00570988
451	1.55162	1.50996	0.00569797
452	1.51263	1.50997	0.00568537
453	1.50579	1.50996	0.00567283
454	1.48987	1.50991	0.0056605
455	1.5666	1.51004	0.00564943
456	1.46031	1.50993	0.0056381
457	1.3928	1.50967	0.00563158
458	1.41354	1.50946	0.0056232
459	1.65353	1.50978	0.0056197
460	1.47636	1.5097	0.00560795
461	1.584	1.50986	0.0055981
462	1.41151	1.50965	0.00559003
463	1.43963	1.5095	0.00558
