BLOCK	ACTUAL_P	P_AVE	ERROR
522	1.76459	1.50169	0.00583397
523	1.48812	1.50166	0.00582288
524	1.20078	1.50108	0.00584001
525	1.38496	1.50086	0.00583307
526	1.34252	1.50056	0.00582974
527	1.48417	1.50053	0.00581876
528	1.67937	1.50087	0.00581759
529	1.44266	1.50076	0.00580764
530	1.55446	1.50086	0.00579756
531	1.66126	1.50116	0.00579451
532	1.54524	1.50125	0.00578421
533	1.37551	1.50101	0.00577817
534	1.55698	1.50112	0.0057683
535	1.45639	1.50103	0.00575812
536	1.33669	1.50073	0.00575553
537	1.4036	1.50054	0.00574766
538	1.42386	1.5004	0.00573874
539	1.55487	1.5005	0.00572898
540	1.51885	1.50054	0.00571848
541	1.55668	1.50064	0.00570885
542	1.38757	1.50043	0.00570212
543	1.35231	1.50016	0.00569814
544	1.48816	1.50014	0.00568771
545	1.44387	1.50003	0.00567821
546	1.48697	1.50001	0.00566786
547	1.68373	1.50035	0.00566744
548	1.47817	1.50031	0.00565725
549	1.43997	1.5002	0.00564801
550	1.52651	1.50024	0.00563794
551	1.44056	1.50014	0.00562875
552	1.72175	1.50054	0.00563285
553	1.60528	1.50073	0.00562585
554	1.68388	1.50106	0.0056254
555	1.42893	1.50093	0.00561677
556	1.3677	1.50069	0.00561177
557	1.90967	1.50142	0.00564953
558	1.44372	1.50132	0.00564035
559	1.42582	1.50118	0.00563188
560	1.4297	1.50106	0.00562327
561	1.67095	1.50136	0.00562139
562	1.53067	1.50141	0.00561163
563	1.58444	1.50156	0.0056036
564	1.44616	1.50146	0.00559453
565	1.62769	1.50168	0.00558909
566	1.54777	1.50176	0.00557981
567	1.51921	1.50179	0.00557005
568	1.66085	1.50207	0.00556728
569	1.58722	1.50222	0.0055595
570	1.58036	1.50236	0.00555144
571	1.36199	1.50212	0.00554716
572	1.17999	1.50155	0.00556597
573	1.33724	1.50127	0.00556364
574	1.45932	1.50119	0.00555443
575	1.7607	1.50164	0.00556307
576	1.39858	1.50147	0.00555629
577	1.33989	1.50119	0.00555372
578	1.29493	1.50083	0.00555556
579	1.45939	1.50076	0.00554643
580	1.34851	1.50049	0.00554307
581	1.31201	1.50017	0.00554301
582	1.73297	1.50057	0.0055479
583	1.33846	1.50029	0.00554535
584	1.40561	1.50013	0.00553823
585	1.42975	1.50001	0.00553007
586	1.38002	1.4998	0.00552442
587	1.43064	1.49969	0.00551626
588	1.4631	1.49962	0.00550723
589	1.45848	1.49955	0.00549833
590	1.64236	1.4998	0.00549433
591	1.41719	1.49966	0.00548681
592	1.528	1.4997	0.00547775
593	1.33246	1.49942	0.00547577
594	1.64071	1.49966	0.00547172
595	1.19085	1.49914	0.00548708
596	1.4138	1.499	0.00547974
597	1.3454	1.49874	0.0054766
598	1.35689	1.4985	0.00547258
599	1.69552	1.49883	0.00547331
600	1.36722	1.49861	0.00546859
601	1.47212	1.49857	0.00545966
602	1.4981	1.49857	0.00545059
603	1.73621	1.49896	0.00545578
604	1.38173	1.49877	0.0054502
605	1.50961	1.49879	0.00544122
606	1.55932	1.49889	0.00543316
607	1.71303	1.49924	0.00543565
608	1.27125	1.49886	0.00543963
609	1.52885	1.49891	0.00543092
610	1.42419	1.49879	0.0054234
611	1.50638	1.4988	0.00541454
612	1.40937	1.49866	0.00540766
613	1.47129	1.49861	0.00539903
614	1.37802	1.49842	0.0053938
615	1.46352	1.49836	0.00538533
616	1.46687	1.49831	0.00537683
617	1.48688	1.49829	0.00536815
618	1.55132	1.49838	0.00536015
619	1.31688	1.49808	0.0053595
620	1.46013	1.49802	0.00535121
621	1.54871	1.4981	0.00534321
622	1.91577	1.49877	0.00537665
623	1.41195	1.49864	0.00536983
624	1.39432	1.49847	0.00536382
625	1.50776	1.49848	0.00535526
626	1.44087	1.49839	0.0053475
627	1.4577	1.49833	0.00533936
628	1.41211	1.49819	0.00533263
629	1.47747	1.49816	0.00532425
630	1.54335	1.49823	0.00531628
631	1.50538	1.49824	0.00530787
632	1.52546	1.49828	0.00529964
633	1.37969	1.49809	0.00529458
634	1.39893	1.49794	0.00528854
635	1.58197	1.49807	0.00528187
636	1.56608	1.49818	0.00527465
637	1.59603	1.49833	0.0052686
638	1.48048	1.4983	0.00526042
639	1.48848	1.49829	0.00525221
640	1.38826	1.49812	0.00524681
641	1.36716	1.49791	0.00524261
642	1.32724	1.49765	0.00524118
643	1.43189	1.49754	0.00523402
644	1.5091	1.49756	0.00522592
645	1.28573	1.49723	0.00522813
646	1.36795	1.49703	0.00522387
647	1.68074	1.49732	0.00522351
648	1.53804	1.49738	0.00521582
649	1.65796	1.49763	0.00521365
650	1.37281	1.49743	0.00520917
651	1.39615	1.49728	0.00520349
652	1.52603	1.49732	0.00519569
653	1.47827	1.49729	0.00518782
654	1.46113	1.49724	0.00518018
655	1.53266	1.49729	0.00517255
656	1.50075	1.4973	0.00516467
657	1.63739	1.49751	0.00516121
658	1.52457	1.49755	0.00515353
659	1.37725	1.49737	0.00514894
660	1.46014	1.49731	0.00514145
661	1.66195	1.49756	0.0051397
662	1.49613	1.49756	0.00513194
663	1.58556	1.49769	0.00512591
664	1.44252	1.49761	0.00511887
665	1.38559	1.49744	0.00511394
666	1.3901	1.49728	0.0051088
667	1.4461	1.4972	0.00510172
668	1.46337	1.49715	0.00509433
669	1.52385	1.49719	0.00508687
670	1.52452	1.49723	0.00507944
671	1.75427	1.49762	0.0050863
672	1.55911	1.49771	0.00507955
673	1.49846	1.49771	0.005072
674	1.88702	1.49829	0.00509726
675	1.42399	1.49818	0.0050909
676	1.8636	1.49872	0.00511199
677	1.57306	1.49883	0.00510562
678	1.49439	1.49882	0.00509809
679	1.40564	1.49868	0.00509243
680	1.53652	1.49874	0.00508524
681	1.5072	1.49875	0.00507779
682	1.36287	1.49855	0.00507425
683	1.54966	1.49863	0.00506738
684	1.2151	1.49821	0.00507689
685	1.26384	1.49787	0.005081
686	1.3182	1.49761	0.00508034
687	1.46549	1.49756	0.00507316
688	1.45306	1.4975	0.0050662
689	1.55969	1.49759	0.00505965
690	1.44344	1.49751	0.00505292
691	1.36771	1.49732	0.0050491
692	1.31476	1.49706	0.00504869
693	1.82415	1.49753	0.00506342
694	1.44088	1.49745	0.00505678
695	1.29082	1.49715	0.00505824
696	1.53312	1.4972	0.00505124
697	1.41434	1.49708	0.00504539
698	1.74264	1.49744	0.00505041
699	1.6698	1.49768	0.0050492
700	1.36894	1.4975	0.00504534
701	1.32288	1.49725	0.00504429
702	1.48442	1.49723	0.00503713
703	1.50832	1.49725	0.00502999
704	1.6427	1.49745	0.00502709
705	1.55387	1.49753	0.0050206
706	1.54456	1.4976	0.00501393
707	1.14624	1.4971	0.0050314
708	1.32394	1.49686	0.00503024
709	1.66551	1.4971	0.00502876
710	1.6815	1.49736	0.00502838
711	1.72148	1.49767	0.00503118
712	1.5196	1.4977	0.00502421
713	1.53189	1.49775	0.00501739
714	1.64355	1.49795	0.00501452
715	1.47328	1.49792	0.00500763
716	1.38588	1.49776	0.00500308
717	1.3723	1.49759	0.00499916
718	1.51412	1.49761	0.00499225
719	1.37943	1.49745	0.00498801
720	1.47733	1.49742	0.00498116
721	1.35356	1.49722	0.00497825
722	1.68892	1.49748	0.00497843
723	1.46686	1.49744	0.00497172
724	1.42157	1.49734	0.00496596
725	1.35304	1.49714	0.0049631
726	1.45053	1.49707	0.00495667
727	1.63235	1.49726	0.00495335
728	1.21119	1.49687	0.00496211
729	1.50609	1.49688	0.00495531
730	1.39286	1.49674	0.00495057
731	1.42399	1.49664	0.0049448
732	1.54118	1.4967	0.00493842
