Gen	Best	Mean	Err
366	69.016	69.016	9.53674e-07
367	69.016	69.016	9.53674e-07
368	69.016	69.016	9.53674e-07
369	69.016	69.016	9.53674e-07
370	69.016	69.016	9.53674e-07
371	69.016	69.016	9.53674e-07
372	69.016	69.016	9.53674e-07
373	69.016	69.016	9.53674e-07
374	69.016	69.016	9.53674e-07
375	69.016	69.016	9.53674e-07
376	68.9617	68.9617	2.6974e-06
377	68.9617	68.9617	2.6974e-06
378	68.4655	68.4655	3.01578e-06
379	68.4655	68.4655	3.01578e-06
380	68.4655	68.4655	3.01578e-06
381	68.4655	68.4655	3.01578e-06
382	68.4655	68.4655	3.01578e-06
383	68.4655	68.4655	3.01578e-06
384	68.4655	68.4655	3.01578e-06
385	68.4655	68.4655	3.01578e-06
386	68.4655	68.4655	3.01578e-06
387	68.4655	68.4655	3.01578e-06
388	68.4655	68.4655	3.01578e-06
389	68.4655	68.4655	3.01578e-06
390	68.4655	68.4655	3.01578e-06
391	68.4655	68.4655	3.01578e-06
392	68.4655	68.4655	3.01578e-06
393	68.4648	68.4648	3.01578e-06
394	68.4648	68.4648	3.01578e-06
395	68.4648	68.4648	3.01578e-06
396	67.8084	67.8084	1.90735e-06
397	67.8084	67.8084	1.90735e-06
398	67.8084	67.8084	1.90735e-06
399	67.8084	67.8084	1.90735e-06
400	67.8084	67.8084	1.90735e-06
401	67.8084	67.8084	1.90735e-06
402	67.8084	67.8084	1.90735e-06
403	67.8084	67.8084	1.90735e-06
404	67.8084	67.8084	1.90735e-06
405	67.8084	67.8084	1.90735e-06
406	67.766	67.766	2.52319e-06
407	67.766	67.766	2.52319e-06
408	67.7383	67.7383	0
409	67.7383	67.7383	0
410	67.7383	67.7383	0
411	67.7383	67.7383	0
412	67.7383	67.7383	0
413	67.7383	67.7383	0
414	67.7383	67.7383	0
415	67.6745	67.6745	1.65181e-06
416	67.6745	67.6745	1.65181e-06
417	67.6745	67.6745	1.65181e-06
418	67.6745	67.6745	1.65181e-06
419	67.4689	67.4689	1.65181e-06
420	67.4689	67.4689	1.65181e-06
421	67.4689	67.4689	1.65181e-06
422	67.4689	67.4689	1.65181e-06
423	67.4689	67.4689	1.65181e-06
424	67.4689	67.4689	1.65181e-06
425	67.445	67.445	3.43852e-06
426	67.445	67.445	3.43852e-06
427	67.445	67.445	3.43852e-06
428	67.445	67.445	3.43852e-06
429	67.445	67.445	3.43852e-06
430	67.445	67.445	3.43852e-06
431	67.445	67.445	3.43852e-06
432	67.445	67.445	3.43852e-06
433	67.445	67.445	3.43852e-06
434	67.445	67.445	3.43852e-06
435	67.445	67.445	3.43852e-06
436	67.445	67.445	3.43852e-06
437	67.445	67.445	3.43852e-06
438	67.445	67.445	3.43852e-06
439	67.445	67.445	3.43852e-06
440	67.445	67.445	3.43852e-06
441	67.445	67.445	3.43852e-06
442	67.445	67.445	3.43852e-06
443	67.445	67.445	3.43852e-06
444	67.445	67.445	3.43852e-06
445	67.445	67.445	3.43852e-06
446	67.445	67.445	3.43852e-06
447	67.445	67.445	3.43852e-06
448	67.445	67.445	3.43852e-06
449	67.445	67.445	3.43852e-06
450	67.445	67.445	3.43852e-06
451	67.445	67.445	3.43852e-06
452	67.445	67.445	3.43852e-06
453	67.445	67.445	3.43852e-06
454	67.0575	67.0575	1.90735e-06
455	67.0575	67.0575	1.90735e-06
